ID,Name,Research
1,Iron Pickaxe,1
2,Dirt Block,100
3,Stone Block,100
4,Iron Broadsword,1
5,Mushroom,30
6,Iron Shortsword,1
7,Iron Hammer,1
8,Torch,100
9,Wood,100
10,Iron Axe,1
11,Iron Ore,100
12,Copper Ore,100
13,Gold Ore,100
14,Silver Ore,100
15,Copper Watch,1
16,Silver Watch,1
17,Gold Watch,1
18,Depth Meter,1
19,Gold Bar,25
20,Copper Bar,25
21,Silver Bar,25
22,Iron Bar,25
23,Gel,99
24,Wooden Sword,1
25,Wooden Door,1
26,Stone Wall,400
27,Acorn,50
28,Lesser Healing Potion,30
29,Life Crystal,10
30,Dirt Wall,400
31,Bottle,25
32,Wooden Table,1
33,Furnace,1
34,Wooden Chair,1
35,Iron Anvil,1
36,Work Bench,1
37,Goggles,1
38,Lens,25
39,Wooden Bow,1
40,Wooden Arrow,99
41,Flaming Arrow,99
42,Shuriken,99
43,Suspicious Looking Eye,3
44,Demon Bow,1
45,War Axe of the Night,1
46,Light's Bane,1
47,Unholy Arrow,99
48,Chest,1
49,Band of Regeneration,1
50,Magic Mirror,1
51,Jester's Arrow,99
52,Angel Statue,1
53,Cloud in a Bottle,1
54,Hermes Boots,1
55,Enchanted Boomerang,1
56,Demonite Ore,100
57,Demonite Bar,25
59,Corrupt Seeds,25
60,Vile Mushroom,25
61,Ebonstone Block,100
62,Grass Seeds,25
63,Sunflower,5
64,Vilethorn,1
65,Starfury,1
66,Purification Powder,99
67,Vile Powder,99
68,Rotten Chunk,25
69,Worm Tooth,25
70,Worm Food,3
71,Copper Coin,100
72,Silver Coin,100
73,Gold Coin,100
74,Platinum Coin,100
75,Fallen Star,50
76,Copper Greaves,1
77,Iron Greaves,1
78,Silver Greaves,1
79,Gold Greaves,1
80,Copper Chainmail,1
81,Iron Chainmail,1
82,Silver Chainmail,1
83,Gold Chainmail,1
84,Grappling Hook,1
85,Chain,100
86,Shadow Scale,25
87,Piggy Bank,1
88,Mining Helmet,1
89,Copper Helmet,1
90,Iron Helmet,1
91,Silver Helmet,1
92,Gold Helmet,1
93,Wood Wall,400
94,Wood Platform,200
95,Flintlock Pistol,1
96,Musket,1
97,Musket Ball,99
98,Minishark,1
99,Iron Bow,1
100,Shadow Greaves,1
101,Shadow Scalemail,1
102,Shadow Helmet,1
103,Nightmare Pickaxe,1
104,The Breaker,1
105,Candle,1
106,Copper Chandelier,1
107,Silver Chandelier,1
108,Gold Chandelier,1
109,Mana Crystal,10
110,Lesser Mana Potion,30
111,Band of Starpower,1
112,Flower of Fire,1
113,Magic Missile,1
114,Dirt Rod,1
115,Shadow Orb,1
116,Meteorite,100
117,Meteorite Bar,25
118,Hook,1
119,Flamarang,1
120,Molten Fury,1
121,Volcano,1
122,Molten Pickaxe,1
123,Meteor Helmet,1
124,Meteor Suit,1
125,Meteor Leggings,1
126,Bottled Water,30
127,Space Gun,1
128,Rocket Boots,1
129,Gray Brick,100
130,Gray Brick Wall,400
131,Red Brick,100
132,Red Brick Wall,400
133,Clay Block,100
134,Blue Brick,100
135,Blue Brick Wall,400
136,Chain Lantern,1
137,Green Brick,100
138,Green Brick Wall,400
139,Pink Brick,100
140,Pink Brick Wall,400
141,Gold Brick,100
142,Gold Brick Wall,400
143,Silver Brick,100
144,Silver Brick Wall,400
145,Copper Brick,100
146,Copper Brick Wall,400
147,Spike,100
148,Water Candle,1
149,Book,25
150,Cobweb,50
151,Necro Helmet,1
152,Necro Breastplate,1
153,Necro Greaves,1
154,Bone,99
155,Muramasa,1
156,Cobalt Shield,1
157,Aqua Scepter,1
158,Lucky Horseshoe,1
159,Shiny Red Balloon,1
160,Harpoon,1
161,Spiky Ball,99
162,Ball O' Hurt,1
163,Blue Moon,1
164,Handgun,1
165,Water Bolt,1
166,Bomb,99
167,Dynamite,99
168,Grenade,99
169,Sand Block,100
170,Glass,100
171,Sign,1
172,Ash Block,100
173,Obsidian,100
174,Hellstone,100
175,Hellstone Bar,25
176,Mud Block,100
177,Sapphire,15
178,Ruby,15
179,Emerald,15
180,Topaz,15
181,Amethyst,15
182,Diamond,15
183,Glowing Mushroom,100
185,Ivy Whip,1
186,Breathing Reed,1
187,Flipper,1
188,Healing Potion,30
189,Mana Potion,30
190,Blade of Grass,1
191,Thorn Chakram,1
192,Obsidian Brick,100
193,Obsidian Skull,1
194,Mushroom Grass Seeds,25
195,Jungle Grass Seeds,25
196,Wooden Hammer,1
197,Star Cannon,1
198,Blue Phaseblade,1
199,Red Phaseblade,1
200,Green Phaseblade,1
201,Purple Phaseblade,1
202,White Phaseblade,1
203,Yellow Phaseblade,1
204,Meteor Hamaxe,1
205,Empty Bucket,1
206,Water Bucket,1
207,Lava Bucket,1
208,Jungle Rose,1
209,Stinger,25
210,Vine,5
211,Feral Claws,1
212,Anklet of the Wind,1
213,Staff of Regrowth,1
214,Hellstone Brick,100
215,Whoopie Cushion,1
216,Shackle,1
217,Molten Hamaxe,1
218,Flamelash,1
219,Phoenix Blaster,1
220,Sunfury,1
221,Hellforge,1
222,Clay Pot,1
223,Nature's Gift,1
224,Bed,1
225,Silk,25
227,Restoration Potion,30
228,Jungle Hat,1
229,Jungle Shirt,1
230,Jungle Pants,1
231,Molten Helmet,1
232,Molten Breastplate,1
233,Molten Greaves,1
234,Meteor Shot,99
235,Sticky Bomb,99
236,Black Lens,1
237,Sunglasses,1
238,Wizard Hat,1
239,Top Hat,1
240,Tuxedo Shirt,1
241,Tuxedo Pants,1
242,Summer Hat,1
243,Bunny Hood,1
244,Plumber's Hat,1
245,Plumber's Shirt,1
246,Plumber's Pants,1
247,Hero's Hat,1
248,Hero's Shirt,1
249,Hero's Pants,1
250,Fish Bowl,1
251,Archaeologist's Hat,1
252,Archaeologist's Jacket,1
253,Archaeologist's Pants,1
254,Black Thread,5
255,Green Thread,5
256,Ninja Hood,1
257,Ninja Shirt,1
258,Ninja Pants,1
259,Leather,5
260,Red Hat,1
261,Goldfish,5
262,Robe,1
