Name,Internal name,ID,Category,Set
Mining Helmet,MiningHelmet,88,Armor set,Mining armor
Mining Shirt,MiningShirt,410,Armor set,Mining armor
Mining Pants,MiningPants,411,Armor set,Mining armor
Wood Helmet,WoodHelmet,727,Armor set,Wood armor
Wood Breastplate,WoodBreastplate,728,Armor set,Wood armor
Wood Greaves,WoodGreaves,729,Armor set,Wood armor
Rich Mahogany Helmet,RichMahoganyHelmet,733,Armor set,Rich Mahogany armor
Rich Mahogany Breastplate,RichMahoganyBreastplate,734,Armor set,Rich Mahogany armor
Rich Mahogany Greaves,RichMahoganyGreaves,735,Armor set,Rich Mahogany armor
Boreal Wood Helmet,BorealWoodHelmet,2509,Armor set,Boreal Wood armor
Boreal Wood Breastplate,BorealWoodBreastplate,2510,Armor set,Boreal Wood armor
Boreal Wood Greaves,BorealWoodGreaves,2511,Armor set,Boreal Wood armor
Palm Wood Helmet,PalmWoodHelmet,2512,Armor set,Palm Wood armor
Palm Wood Breastplate,PalmWoodBreastplate,2513,Armor set,Palm Wood armor
Palm Wood Greaves,PalmWoodGreaves,2514,Armor set,Palm Wood armor
Ebonwood Helmet,EbonwoodHelmet,730,Armor set,Ebonwood armor
Ebonwood Breastplate,EbonwoodBreastplate,731,Armor set,Ebonwood armor
Ebonwood Greaves,EbonwoodGreaves,732,Armor set,Ebonwood armor
Shadewood Helmet,ShadewoodHelmet,924,Armor set,Shadewood armor
Shadewood Breastplate,ShadewoodBreastplate,925,Armor set,Shadewood armor
Shadewood Greaves,ShadewoodGreaves,926,Armor set,Shadewood armor
Ash Wood Helmet,AshWoodHelmet,5279,Armor set,Ash Wood armor
Ash Wood Breastplate,AshWoodBreastplate,5280,Armor set,Ash Wood armor
Ash Wood Greaves,AshWoodGreaves,5281,Armor set,Ash Wood armor
Rain Hat,RainHat,1135,Armor set,Rain armor
Rain Coat,RainCoat,1136,Armor set,Rain armor
Snow Hood,EskimoHood,803,Armor set,Snow armor
Snow Coat,EskimoCoat,804,Armor set,Snow armor
Snow Pants,EskimoPants,805,Armor set,Snow armor
Pink Snow Hood,PinkEskimoHood,978,Armor set,Pink Snow armor
Pink Snow Coat,PinkEskimoCoat,979,Armor set,Pink Snow armor
Pink Snow Pants,PinkEskimoPants,980,Armor set,Pink Snow armor
Angler Hat,AnglerHat,2367,Armor set,Angler armor
Angler Vest,AnglerVest,2368,Armor set,Angler armor
Angler Pants,AnglerPants,2369,Armor set,Angler armor
Cactus Helmet,CactusHelmet,894,Armor set,Cactus armor
Cactus Breastplate,CactusBreastplate,895,Armor set,Cactus armor
Cactus Leggings,CactusLeggings,896,Armor set,Cactus armor
Copper Greaves,CopperGreaves,76,Armor set,Copper armor
Copper Chainmail,CopperChainmail,80,Armor set,Copper armor
Copper Helmet,CopperHelmet,89,Armor set,Copper armor
Copper Plating,CopperPlating,2173,Armor set,Copper armor
Tin Helmet,TinHelmet,687,Armor set,Tin armor
Tin Chainmail,TinChainmail,688,Armor set,Tin armor
