Item,ID,Internal name
Bomb,166,Bomb
Bomb Fish,3196,BombFish
Bouncy Bomb,3115,BouncyBomb
Bouncy Dynamite,3547,BouncyDynamite
Dirt Bomb,4908,DirtBomb
Dry Bomb,4827,DryBomb
Dynamite,167,Dynamite
Freeze Bomb,5542,FreezeBomb
Honey Bomb,4826,HoneyBomb
Lava Bomb,4825,LavaBomb
Power Bomb,5594,SuperBomb
Scarab Bomb,4423,ScarabBomb
Sticky Bomb,235,StickyBomb
Sticky Dirt Bomb,4909,DirtStickyBomb
Sticky Dynamite,2896,StickyDynamite
Sticky Power Bomb,5595,SuperStickyBomb
Wet Bomb,4824,WetBomb
Purification Powder,66,PurificationPowder
Vile Powder,67,VilePowder
Vicious Powder,2886,ViciousPowder
Holy Water,422,HolyWater
Unholy Water,423,UnholyWater
Blood Water,3477,BloodWater
Glowstick,282,Glowstick
Sticky Glowstick,286,StickyGlowstick
Bouncy Glowstick,3112,BouncyGlowstick
Spelunker Glowstick,3002,SpelunkerGlowstick
Fairy Glowstick,4776,FairyGlowstick
Rainbow Glowstick,5643,RainbowGlowstick
Chum Bucket,4608,ChumBucket
Fertilizer,5438,Fertilizer
Infused Fertilizer,5518,SuperFertilizer
Life Crystal,29,LifeCrystal
Mana Crystal,109,ManaCrystal
Torch God's Favor,5043,TorchGodsFavor
Artisan Loaf,5326,ArtisanLoaf
Advanced Combat Techniques,4382,CombatBook
Vital Crystal,5337,AegisCrystal
Arcane Crystal,5339,ArcaneCrystal
Ambrosia,5342,Ambrosia
Gummy Worm,5341,GummyWorm
Galaxy Pearl,5340,GalaxyPearl
Peddler's Satchel,5343,PeddlersSatchel
Demon Heart,3335,DemonHeart
Advanced Combat Techniques: Volume Two,5336,CombatBookVolumeTwo
Life Fruit,1291,LifeFruit
Aegis Fruit,5338,AegisFruit
Minecart Upgrade Kit,5289,MinecartPowerup
Slime Crown,560,SlimeCrown
Suspicious Looking Eye,43,SuspiciousLookingEye
Worm Food,70,WormFood
Bloody Spine,1331,BloodySpine
Abeemination,1133,Abeemination
Deer Thing,5120,DeerThing
Suspicious Looking Egg,,
Cursed stuffing,,
Gelatin Crystal,4988,QueenSlimeCrystal
Mechanical Worm,556,MechanicalWorm
Mechanical Eye,544,MechanicalEye
Mechanical Skull,557,MechanicalSkull
Ocram's Razor,5334,MechdusaSummon
Lihzahrd Power Cell,1293,LihzahrdPowerCell
Truffle Worm,2673,TruffleWorm
Suspicious Looking Skull,,
Celestial Sigil,3601,CelestialSigil
Bloody Tear,4271,BloodMoonStarter
Goblin Battle Standard,361,GoblinBattleStandard
Eternia Crystal,3828,DD2ElderCrystal
Snow Globe,602,SnowGlobe
Pirate Map,1315,PirateMap
Solar Tablet,2767,SolarTablet
Pumpkin Moon Medallion,1844,PumpkinMoonMedallion
Naughty Present,1958,NaughtyPresent
Stink Potion,2353,StinkPotion
Love Potion,2352,LovePotion
Smoke Bomb,1168,SmokeBomb
Confetti Gun,1000,ConfettiGun
Beach Ball,859,BeachBall
Football,4743,Football
Geode,4400,Geode
Tree Globe,4765,TreeGlobe
Moon Globe,5285,MoonGlobe
World Globe,4766,WorldGlobe
Release Lantern,4702,ReleaseLantern
Release Doves,4682,ReleaseDoves
Sparkle Slime Balloon,4986,GelBalloon
