Image,Name,Damage,Damage type,Knockback,Critical chance,Use time,Rarity,Autoswing,HM,,ID,Internal name
Abigail's Flower item sprite,Abigail's Flower,6,Summon,2,-,36,Orange (Rarity level: 3),✔️,❌,50,5114,AbigailsFlower
Acorn Slingshot item sprite,Acorn Slingshot,5,-,4,-,20,Blue (Rarity level: 1),✔️,❌,20,5629,AcornSlingshot
Adamantite Chainsaw item sprite,Adamantite Chainsaw,33,Melee,4.5,4%,15,Light Red (Rarity level: 4),❌,✔️,216,387,AdamantiteChainsaw
Adamantite Drill item sprite,Adamantite Drill,20,Melee,0.5 (Extremely weak)  / 0 (No knockback),4%,15,Light Red (Rarity level: 4),❌,✔️,216,388,AdamantiteDrill
Adamantite Glaive item sprite,Adamantite Glaive,49,Melee,6,4%,25,Light Red (Rarity level: 4),❌,✔️,180,406,AdamantiteGlaive
Adamantite Pickaxe item sprite,Adamantite Pickaxe,20,Melee,5,4%,25,Light Red (Rarity level: 4),✔️,✔️,216,778,AdamantitePickaxe
Adamantite Repeater item sprite,Adamantite Repeater,42,Ranged,2.5,4%,18,Light Red (Rarity level: 4),✔️,✔️,240,481,AdamantiteRepeater
Adamantite Sword item sprite,Adamantite Sword,61,Melee,6,4%,21,Light Red (Rarity level: 4),✔️,✔️,276,482,AdamantiteSword
Adamantite Waraxe item sprite,Adamantite Waraxe,43,Melee,7,4%,35,Light Red (Rarity level: 4),✔️,✔️,216,993,AdamantiteWaraxe
Aerial Bane item sprite,Aerial Bane,38,Ranged,4.5,7%,30,Yellow (Rarity level: 8),✔️,✔️,5,3859,DD2BetsyBow
Ale Tosser item sprite,Ale Tosser,32,Melee,4,4%,32,Green (Rarity level: 2),❌,❌,25,3821,AleThrowingGlove
Amarok item sprite,Amarok,43,Melee,2.8,4%,25,Light Red (Rarity level: 4),❌,✔️,4,3289,Amarok
Amazon item sprite,Amazon,18,Melee,3.75,4%,25,Orange (Rarity level: 3),❌,❌,130,3281,JungleYoyo
Amber Staff item sprite,Amber Staff,21,Magic,4.75,4%,28,Blue (Rarity level: 1),✔️,❌,40,3377,AmberStaff
Amethyst Staff item sprite,Amethyst Staff,15,Magic,3.25,4%,37,White (Rarity level: 0),❌,❌,4,739,AmethystStaff
Anchor item sprite,Anchor,70,Melee,8,4%,20,Orange (Rarity level: 3),❌,✔️,1,2424,Anchor
Aqua Scepter item sprite,Aqua Scepter,27,Magic,7,4%,16,Green (Rarity level: 2),✔️,❌,175,157,AquaScepter
Arkhalis item sprite,Arkhalis,25,Melee,4,4%,25,Cyan (Rarity level: 9),❌,✔️,5,3368,Arkhalis
Artery item sprite,Artery,17,Melee,4,4%,25,Blue (Rarity level: 1),❌,❌,1,3280,CrimsonYoyo
Ash Wood Bow item sprite,Ash Wood Bow,10,Ranged,0,4%,25,White (Rarity level: 0),❌,❌,20,5282,AshWoodBow
Ash Wood Hammer item sprite,Ash Wood Hammer,9,Melee,5.5,4%,30,White (Rarity level: 0),✔️,❌,10,5283,AshWoodHammer
Ash Wood Sword item sprite,Ash Wood Sword,13,Melee,5,4%,17,White (Rarity level: 0),❌,❌,20,5284,AshWoodSword
Axe of Regrowth item sprite,Axe of Regrowth,20,Melee,5,4%,24,Light Red (Rarity level: 4),✔️,❌,150,5295,AcornAxe
Axearang item sprite,Axearang,20,Melee,5,4%,20,Light Red (Rarity level: 4),❌,❌,150,5519,Axearang
Ball O' Hurt item sprite,Ball O' Hurt,30,Melee,5.5,4%,45,Blue (Rarity level: 1),❌,❌,150,162,BallOHurt
Ballista Cane item sprite,Ballista Cane,74,Summon,4.7,-,30,Pink (Rarity level: 5),❌,✔️,5,3825,DD2BallistraTowerT2Popper
Ballista Rod item sprite,Ballista Rod,30,Summon,4.7,-,30,Orange (Rarity level: 3),❌,❌,1,3824,DD2BallistraTowerT1Popper
Ballista Staff item sprite,Ballista Staff,156,Summon,4.7,-,30,Yellow (Rarity level: 8),❌,✔️,15,3826,DD2BallistraTowerT3Popper
Bananarang item sprite,Bananarang,45,Melee,6.5,4%,11,Pink (Rarity level: 5),✔️,✔️,12,1324,Bananarang
Barnacle Staff item sprite,Barnacle Staff,33,Summon,7.5,-,30,Light Red (Rarity level: 4),❌,✔️,4,5463,DeadCellsBarnacleSummonItem
Barrel Launcher item sprite,Barrel Launcher,100,Ranged,8,4%,40,Light Red (Rarity level: 4),✔️,✔️,4,5460,DeadCellsBarrelLauncher
Bat Bat item sprite,Bat Bat,36,Melee,5.5,4%,40,Green (Rarity level: 2),❌,❌,25,5097,BatBat
Bat Scepter item sprite,Bat Scepter,45,Magic,3,4%,12,Yellow (Rarity level: 8),✔️,✔️,10,1801,BatScepter
Beam Sword item sprite,Beam Sword,52,Melee,6.5,4%,20,Light Red (Rarity level: 4),✔️,✔️,3,723,BeamSword
Bee Gun item sprite,Bee Gun,9,Magic,0.25,4%,12,Green (Rarity level: 2),✔️,❌,2,1121,BeeGun
Bee Keeper item sprite,Bee Keeper,30,Melee,5.3,4%,20,Orange (Rarity level: 3),✔️,❌,2,1123,BeeKeeper
Beenade item sprite,Beenade,12,Ranged,1,4%,15,White (Rarity level: 0),❌,❌,5,1130,Beenade
Betsy's Wrath item sprite,Betsy's Wrath,100,Magic,7,4%,20,Yellow (Rarity level: 8),✔️,✔️,5,3870,ApprenticeStaffT3
Blade of Grass item sprite,Blade of Grass,18,Melee,4.5,4%,20,Orange (Rarity level: 3),❌,❌,54,190,BladeofGrass
Blade Staff item sprite,Blade Staff,6,Summon,0,-,36,Pink (Rarity level: 5),✔️,✔️,1,4758,Smolstar
Bladed Glove item sprite,Bladed Glove,14,Melee,4,4%,8,Green (Rarity level: 2),✔️,❌,1,1827,BladedGlove
Bladetongue item sprite,Bladetongue,55,Melee,5.75,4%,28,Pink (Rarity level: 5),✔️,✔️,4,3211,Bladetongue
Blizzard Staff item sprite,Blizzard Staff,58,Magic,4.5,4%,10,Yellow (Rarity level: 8),✔️,✔️,9,1931,BlizzardStaff
Blood Butcherer item sprite,Blood Butcherer,22,Melee,5,4%,25,Blue (Rarity level: 1),❌,❌,27,795,BloodButcherer
Blood Lust Cluster item sprite,Blood Lust Cluster,22,Melee,6,4%,32,Blue (Rarity level: 1),✔️,❌,27,799,BloodLustCluster
Blood Rain Bow item sprite,Blood Rain Bow,14,Ranged,3,4%,19,Orange (Rarity level: 3),✔️,❌,1,4381,BloodRainBow
Blood Thorn item sprite,Blood Thorn,34,Magic,1,4%,33,Light Red (Rarity level: 4),✔️,✔️,4,4270,SharpTears
Blood Water item sprite,Blood Water,20,-,3,-,15,Orange (Rarity level: 3),❌,❌,20,3477,BloodWater
Bloody Machete item sprite,Bloody Machete,20,Melee,5,4%,15,Green (Rarity level: 2),❌,❌,1,1825,BloodyMachete
Blowgun item sprite,Blowgun,27,Ranged,4,4%,35,Orange (Rarity level: 3),✔️,❌,1,986,Blowgun
Blowpipe item sprite,Blowpipe,9,Ranged,3.5,4%,25,White (Rarity level: 0),✔️,❌,20,281,Blowpipe
Blue Moon item sprite,Blue Moon,54,Melee,6,4%,45,Green (Rarity level: 2),❌,❌,175,163,BlueMoon
Blue Phaseblade item sprite,Blue Phaseblade,26,Melee,3,4%,18,Blue (Rarity level: 1),✔️,❌,54,198,BluePhaseblade
Blue Phasesaber item sprite,Blue Phasesaber,50,Melee,3,4%,16,Light Red (Rarity level: 4),✔️,✔️,1,3764,BluePhasesaber
Blue Rocket item sprite,Blue Rocket,-1,-,0,-,15,White (Rarity level: 0),✔️,✔️,3,972,BlueRocket
Bomb item sprite,Bomb,100,-,8,-,25,White (Rarity level: 0),❌,❌,60,166,Bomb
Bomb Fish item sprite,Bomb Fish,100,-,8,-,25,Blue (Rarity level: 1),❌,❌,2,3196,BombFish
Bone item sprite,Bone,20,Ranged,2.3,4%,12,White (Rarity level: 0),❌,❌,10,154,Bone
Bone Javelin item sprite,Bone Javelin,20,Ranged,5,4%,25,Blue (Rarity level: 1),✔️,❌,10,3378,BoneJavelin
Bone Pickaxe item sprite,Bone Pickaxe,8,Melee,3,4%,19,Blue (Rarity level: 1),✔️,❌,30,1320,BonePickaxe
Bone Sword item sprite,Bone Sword,19,Melee,5.5,4%,22,Orange (Rarity level: 3),❌,❌,18,1166,BoneSword
Bone Throwing Knife item sprite,Bone Throwing Knife,14,Ranged,1.5,4%,14,Blue (Rarity level: 1),✔️,❌,10,3379,BoneDagger
Book of Skulls item sprite,Book of Skulls,29,Magic,3.5,4%,26,Green (Rarity level: 2),✔️,❌,150,1313,BookofSkulls
Boomstick item sprite,Boomstick,14,Ranged,5.75,4%,40,Green (Rarity level: 2),❌,❌,2,964,Boomstick
Boreal Wood Bow item sprite,Boreal Wood Bow,6,Ranged,0,4%,29,White (Rarity level: 0),❌,❌,20,2747,BorealWoodBow
Boreal Wood Hammer item sprite,Boreal Wood Hammer,4,Melee,5.5,4%,33,White (Rarity level: 0),✔️,❌,10,2746,BorealWoodHammer
Boreal Wood Sword item sprite,Boreal Wood Sword,8,Melee,6,4%,20,White (Rarity level: 0),❌,❌,20,2745,BorealWoodSword
Bouncy Bomb item sprite,Bouncy Bomb,100,-,8,-,25,White (Rarity level: 0),❌,❌,80,3115,BouncyBomb
Bouncy Dynamite item sprite,Bouncy Dynamite,250,-,10,-,40,Blue (Rarity level: 1),❌,❌,4,3547,BouncyDynamite
Bouncy Grenade item sprite,Bouncy Grenade,65,Ranged,8,4%,40,White (Rarity level: 0),❌,❌,20,3116,BouncyGrenade
Brand of the Inferno item sprite,Brand of the Inferno,95,Melee,6.5,4%,20,Pink (Rarity level: 5),✔️,✔️,1,3823,DD2SquireDemonSword
Breaker Blade item sprite,Breaker Blade,70,Melee,8,4%,35,Light Red (Rarity level: 4),❌,✔️,3,426,BreakerBlade
Breathing Reed item sprite,Breathing Reed,10,Melee,4,4%,27,Blue (Rarity level: 1),❌,❌,20,186,BreathingReed
Bubble Gun item sprite,Bubble Gun,70,Magic,3,4%,9,Yellow (Rarity level: 8),✔️,✔️,5,2623,BubbleGun
Bunny Cannon item sprite,Bunny Cannon,,-,,-,15,White (Rarity level: 0),✔️,✔️,10,1337,BunnyCannon
Butcher's Chainsaw item sprite,Butcher's Chainsaw,120,Melee,8,4%,15,Yellow (Rarity level: 8),❌,✔️,10,3098,ButchersChainsaw
Cactus Pickaxe item sprite,Cactus Pickaxe,4,Melee,2,4%,25,White (Rarity level: 0),✔️,❌,4,882,CactusPickaxe
Cactus Sword item sprite,Cactus Sword,10,Melee,4.5,4%,30,White (Rarity level: 0),❌,❌,360,881,CactusSword
Candy Cane Pickaxe item sprite,Candy Cane Pickaxe,7,Melee,2.5,4%,20,White (Rarity level: 0),✔️,❌,20,1917,CnadyCanePickaxe
Candy Cane Sword item sprite,Candy Cane Sword,19,Melee,5.3,4%,27,Blue (Rarity level: 1),❌,❌,27,1909,CandyCaneSword
Candy Corn Rifle item sprite,Candy Corn Rifle,60,Ranged,2,10%,9,Yellow (Rarity level: 8),✔️,✔️,10,1782,CandyCornRifle
Cannon item sprite,Cannon,,-,,-,15,Orange (Rarity level: 3),✔️,✔️,5,928,Cannon
