Name,Internal name,ID,Category,Set
Skeletron Mask,SkeletronMask,1281,Boss Mask,
Brain of Cthulhu Mask,BrainMask,2104,Boss Mask,
Wall of Flesh Mask,FleshMask,2105,Boss Mask,
Twins Mask,TwinMask,2106,Boss Mask,
Skeletron Prime Mask,SkeletronPrimeMask,2107,Boss Mask,
Queen Bee Mask,BeeMask,2108,Boss Mask,
Plantera Mask,PlanteraMask,2109,Boss Mask,
Golem Mask,GolemMask,2110,Boss Mask,
Eater of Worlds Mask,EaterMask,2111,Boss Mask,
Eye of Cthulhu Mask,EyeMask,2112,Boss Mask,
Destroyer Mask,DestroyerMask,2113,Boss Mask,
King Slime Mask,KingSlimeMask,2493,Boss Mask,
Duke Fishron Mask,DukeFishronMask,2588,Boss Mask,
Lunatic Cultist Mask,BossMaskCultist,3372,Boss Mask,
Moon Lord Mask,BossMaskMoonlord,3373,Boss Mask,
Betsy Mask,BossMaskBetsy,3863,Boss Mask,
Dark Mage Mask,BossMaskDarkMage,3864,Boss Mask,
Ogre Mask,BossMaskOgre,3865,Boss Mask,
Empress of Light Mask,FairyQueenMask,4784,Boss Mask,
Queen Slime Mask,QueenSlimeMask,4959,Boss Mask,
Deerclops Mask,DeerclopsMask,5109,Boss Mask,
Mrs. Claus Hat,MrsClauseHat,1932,Christmas Set,Mrs. Claus set
Mrs. Claus Shirt,MrsClauseShirt,1933,Christmas Set,Mrs. Claus set
Mrs. Claus Heels,MrsClauseHeels,1934,Christmas Set,Mrs. Claus set
Parka Hood,ParkaHood,1935,Christmas Set,Parka set
Parka Coat,ParkaCoat,1936,Christmas Set,Parka set
Parka Pants,ParkaPants,1937,Christmas Set,Parka set
Santa Hat,SantaHat,588,Christmas Set,Santa set
Santa Shirt,SantaShirt,589,Christmas Set,Santa set
Santa Pants,SantaPants,590,Christmas Set,Santa set
Tree Mask,TreeMask,1940,Christmas Set,Tree set
Tree Shirt,TreeShirt,1941,Christmas Set,Tree set
Aaron's Helmet,AaronsHelmet,1566,Developer Set,Aaron's set
Aaron's Breastplate,AaronsBreastplate,1567,Developer Set,Aaron's set
Aaron's Leggings,AaronsLeggings,1568,Developer Set,Aaron's set
Arkhalis' Hood,ArkhalisHat,3921,Developer Set,Arkhalis' set
Arkhalis' Bodice,ArkhalisShirt,3922,Developer Set,Arkhalis' set
